apartment_number,room_number,x_center,y_center,z_center,n_windowarea,e_windowarea,s_windowarea,w_windowarea,9am_mean_fraction_body_sunlight_exposure,9am_mean_indoor_mrt,9am_working_mean_pmv,9am_cooking_mean_pmv,9am_sleeping_mean_pmv,9am_sitting_mean_pmv,12pm_mean_fraction_body_sunlight_exposure,12pm_mean_indoor_mrt,12pm_working_mean_pmv,12pm_cooking_mean_pmv,12pm_sleeping_mean_pmv,12pm_sitting_mean_pmv,3pm_mean_fraction_body_sunlight_exposure,3pm_mean_indoor_mrt,3pm_working_mean_pmv,3pm_cooking_mean_pmv,3pm_sleeping_mean_pmv,3pm_sitting_mean_pmv,6pm_mean_fraction_body_sunlight_exposure,6pm_mean_indoor_mrt,6pm_working_mean_pmv,6pm_cooking_mean_pmv,6pm_sleeping_mean_pmv,6pm_sitting_mean_pmv,9pm_mean_fraction_body_sunlight_exposure,9pm_mean_indoor_mrt,9pm_working_mean_pmv,9pm_cooking_mean_pmv,9pm_sleeping_mean_pmv,9pm_sitting_mean_pmv
66,1,-31.708038,56.376091,3,0,0,0,0,0,22,-0.656989,0.506989,-2.331881,-0.97723,0,22,-0.778113,0.422109,-2.516023,-1.109768,0,22,-0.829112,0.386371,-2.593556,-1.165573,0,22,-0.816362,0.395305,-2.574173,-1.151622,0,22,-0.733488,0.453381,-2.448181,-1.060938
67,0,-31.708038,47.376091,3,0,0,0,0,0,22.143943,-0.637777,0.518547,-2.304908,-0.955698,0,22.201412,-0.751218,0.438313,-2.478264,-1.079625,0,22.268514,-0.793239,0.407976,-2.543192,-1.125368,0.055556,22.464843,-0.754618,0.433086,-2.486128,-1.082588,0,22,-0.733488,0.453381,-2.448181,-1.060938
67,1,-31.708038,50.376091,3,0,2.292003,0,0,0.333333,24.941684,-0.266356,0.746154,-1.776956,-0.540522,0.083333,22.912146,-0.656875,0.496143,-2.344099,-0.974159,0,22.482224,-0.764505,0.425405,-2.50285,-1.09317,0,22.307164,-0.77528,0.420091,-2.516498,-1.10558,0,22,-0.733488,0.453381,-2.448181,-1.060938
67,2,-28.708038,47.376091,3,3.5,3.5,0,0,0.444444,26.450378,-0.065,0.868894,-1.492761,-0.315248,0.111111,23.955184,-0.51706,0.580974,-2.147527,-0.817588,0,23.628151,-0.610833,0.518976,-2.285652,-0.921593,0,23.037091,-0.677193,0.479462,-2.378771,-0.995793,0,22,-0.733488,0.453381,-2.448181,-1.060938
68,0,-34.708038,14.376091,3,0,0,0,0,0,22.315544,-0.614842,0.532369,-2.272709,-0.929993,0,22.441524,-0.719094,0.457639,-2.433165,-1.043623,0,22.588619,-0.750364,0.433865,-2.483,-1.077316,0,22.374936,-0.766264,0.425469,-2.503839,-1.095474,0,22,-0.733488,0.453381,-2.448181,-1.060938
68,1,-31.708038,14.376091,3,0,0,2.292003,0,0,22.496121,-0.590588,0.547078,-2.238659,-0.902814,0.083333,23.244626,-0.612278,0.523083,-2.2816,-0.924186,0.083333,23.395938,-0.642934,0.499626,-2.330541,-0.957198,0,22.589501,-0.737407,0.442971,-2.463324,-1.063142,0,22,-0.733488,0.453381,-2.448181,-1.060938
68,2,-34.708038,11.376091,3,0,3.5,3.5,0,0.444444,26.8062,-0.017,0.897845,-1.425637,-0.261572,0.222222,25.186973,-0.352844,0.681397,-1.914849,-0.634105,0.111111,24.919196,-0.438962,0.624257,-2.041441,-0.729699,0,23.459886,-0.620297,0.514007,-2.298651,-0.932267,0,22,-0.733488,0.453381,-2.448181,-1.060938
69,0,-25.708038,20.376091,3,0,0,0,0,0,22.161418,-0.635443,0.519951,-2.301632,-0.953082,0,22.225863,-0.74795,0.440279,-2.473676,-1.075963,0,22.30111,-0.788879,0.410599,-2.537071,-1.120481,0,22.1918,-0.790756,0.410711,-2.538222,-1.122922,0,22,-0.733488,0.453381,-2.448181,-1.060938
69,1,-28.708038,20.376091,3,2.292003,0,0,0,0,22.180366,-0.632898,0.521482,-2.298059,-0.95023,0,22.252376,-0.744379,0.442475,-2.468663,-1.07196,0,22.336456,-0.784101,0.413591,-2.530365,-1.115127,0,22.214314,-0.787727,0.412556,-2.533971,-1.119528,0,22,-0.733488,0.453381,-2.448181,-1.060938
69,2,-25.708038,23.376091,3,3.5,0,0,3.5,0,22.742158,-0.557569,0.567128,-2.19231,-0.865813,0,23.038463,-0.63875,0.5064,-2.320363,-0.953633,0.111111,24.011722,-0.560503,0.549974,-2.213697,-0.865269,0.444444,25.232301,-0.387401,0.65877,-1.961467,-0.672231,0,22,-0.733488,0.453381,-2.448181,-1.060938
69,3,-22.708038,20.376091,3,2.292003,0,0,0,0,22.293982,-0.617696,0.530699,-2.276716,-0.933191,0,22.411354,-0.723075,0.455361,-2.438757,-1.048087,0,22.548398,-0.755657,0.430774,-2.49043,-1.083254,0,22.349316,-0.769651,0.423478,-2.508594,-1.099269,0,22,-0.733488,0.453381,-2.448181,-1.060938
70,0,-31.708038,53.376091,3,0,0,0,0,0,22.07877,-0.646475,0.513314,-2.31712,-0.965446,0,22.110218,-0.763394,0.430988,-2.495359,-1.093271,0,22.146938,-0.809479,0.398206,-2.565992,-1.14357,0.055556,22.387402,-0.764951,0.426869,-2.500632,-1.094168,0,22,-0.733488,0.453381,-2.448181,-1.060938
70,1,-28.708038,53.376091,3,0,2.292003,0,0,0.333333,25.018125,-0.256056,0.752369,-1.762613,-0.528982,0.083333,23.019106,-0.642517,0.504819,-2.324036,-0.958072,0,22.624818,-0.745394,0.437018,-2.475804,-1.071906,0,22.397993,-0.763069,0.427485,-2.499352,-1.091897,0,22,-0.733488,0.453381,-2.448181,-1.060938
71,0,-28.708038,65.376091,3,0,0,0,0,0,22.30552,-0.616185,0.531537,-2.274595,-0.931498,0,22.427498,-0.720977,0.456507,-2.435809,-1.045732,0,22.569921,-0.752879,0.432352,-2.486533,-1.080135,0,22.363025,-0.767862,0.424508,-2.506081,-1.097264,0,22,-0.733488,0.453381,-2.448181,-1.060938
71,1,-31.708038,65.376091,3,2.292003,0,0,0,0,22.345152,-0.610837,0.534825,-2.267088,-0.925505,0,22.482953,-0.713459,0.461146,-2.425256,-1.037312,0,22.643851,-0.742808,0.438529,-2.472387,-1.068883,0,22.410117,-0.761493,0.428456,-2.497142,-1.090129,0,22,-0.733488,0.453381,-2.448181,-1.060938
71,2,-28.708038,68.376091,3,3.5,0,0,3.5,0,23.116197,-0.507196,0.597581,-2.121572,-0.809454,0,23.561835,-0.568509,0.549225,-2.220977,-0.875422,0.111111,24.709457,-0.467341,0.607116,-2.081201,-0.761258,0.472222,25.823644,-0.308461,0.706776,-1.850009,-0.584137,0,22,-0.733488,0.453381,-2.448181,-1.060938
71,3,-25.708038,65.376091,3,2.292003,0,0,0,0,22.536618,-0.585178,0.550333,-2.231064,-0.89675,0,22.750861,-0.677489,0.482885,-2.374747,-0.997085,0,23.001014,-0.695009,0.467596,-2.404889,-1.015443,0,22.637621,-0.730976,0.446887,-2.454297,-1.055932,0,22,-0.733488,0.453381,-2.448181,-1.060938
